Category,Subcategory,MDC_DESC,TransferPercent,TransferCount
Overall,,Alcohol/Drug Use & Alcohol/Drug Induced Organic Mental Disorders,0.7%,198
Overall,,Burns,1.7%,33
Overall,,"Diseases & Disorders of Blood, Blood Forming Organs, Immunologic Disorders",1.3%,344
Overall,,Diseases & Disorders of the Circulatory System,2.9%,"9,468"
Overall,,Diseases & Disorders of the Digestive System,1.0%,"2,045"
Overall,,"Diseases & Disorders of the Ear, Nose, Mouth & Throat",0.8%,123
Overall,,Diseases & Disorders of the Eye,1.0%,33
Overall,,Diseases & Disorders of the Female Reproductive System,0.4%,96
Overall,,Diseases & Disorders of the Hepatobiliary System & Pancreas,1.6%,"1,508"
Overall,,Diseases & Disorders of the Kidney & Urinary Tract,1.0%,"1,174"
Overall,,Diseases & Disorders of the Male Reproductive System,0.6%,51
Overall,,Diseases & Disorders of the Musculoskeletal System & Connective Tissue,1.1%,"2,146"
Overall,,Diseases & Disorders of the Nervous System,2.1%,"3,425"
Overall,,Diseases & Disorders of the Respiratory System,1.7%,"3,914"
Overall,,"Diseases & Disorders of the Skin, Subcutaneous Tissue & Breast",0.9%,435
Overall,,"Endocrine, Nutritional & Metabolic Diseases & Disorders",0.8%,822
Overall,,Factors Influencing Health Status & Other Contacts with Health Services,1.1%,131
Overall,,"Infectious & Parasitic Diseases, Systemic or Unspecified Sites",2.5%,"6,887"
Overall,,"Injuries, Poisonings & Toxic Effects of Drugs",1.5%,565
Overall,,Mental Diseases & Disorders,0.7%,77
Overall,,Multiple Significant Trauma,4.0%,381
Overall,,"Myeloproliferative Diseases & Disorders, Poorly Differentiated Neoplasms",1.9%,416
Overall,,Newborns & Other Neonates with Conditions Originating in Perinatal Period,4.2%,57
Overall,,Transplants and Tracheostomies (PRE-MDC),13.4%,"1,806"
Overall,,"Pregnancy, Childbirth & the Puerperium",0.4%,"1,304"
Sex,Female,Overall,1.3%,"16,739"
Sex,Male,Overall,2.0%,"20,969"
Sex,Female,Alcohol/Drug Use & Alcohol/Drug Induced Organic Mental Disorders,0.6%,47
Sex,Male,Alcohol/Drug Use & Alcohol/Drug Induced Organic Mental Disorders,0.7%,151
Sex,Female,Burns,1.9%,12
Sex,Male,Burns,1.6%,21
Sex,Female,"Diseases & Disorders of Blood, Blood Forming Organs, Immunologic Disorders",1.3%,188
Sex,Male,"Diseases & Disorders of Blood, Blood Forming Organs, Immunologic Disorders",1.3%,156
Sex,Female,Diseases & Disorders of the Circulatory System,2.5%,"3,481"
Sex,Male,Diseases & Disorders of the Circulatory System,3.2%,"5,987"
Sex,Female,Diseases & Disorders of the Digestive System,0.9%,"1,017"
Sex,Male,Diseases & Disorders of the Digestive System,1.0%,"1,028"
Sex,Female,"Diseases & Disorders of the Ear, Nose, Mouth & Throat",0.8%,58
Sex,Male,"Diseases & Disorders of the Ear, Nose, Mouth & Throat",0.8%,65
Sex,Female,Diseases & Disorders of the Eye,1.1%,17
Sex,Male,Diseases & Disorders of the Eye,0.9%,16
Sex,Female,Diseases & Disorders of the Female Reproductive System,0.4%,96
Sex,Male,Diseases & Disorders of the Female Reproductive System,0.0%,0
Sex,Female,Diseases & Disorders of the Hepatobiliary System & Pancreas,1.5%,726
Sex,Male,Diseases & Disorders of the Hepatobiliary System & Pancreas,1.7%,782
Sex,Female,Diseases & Disorders of the Kidney & Urinary Tract,0.8%,459
Sex,Male,Diseases & Disorders of the Kidney & Urinary Tract,1.2%,715
Sex,Female,Diseases & Disorders of the Male Reproductive System,0.0%,0
Sex,Male,Diseases & Disorders of the Male Reproductive System,0.6%,51
Sex,Female,Diseases & Disorders of the Musculoskeletal System & Connective Tissue,1.1%,"1,130"
Sex,Male,Diseases & Disorders of the Musculoskeletal System & Connective Tissue,1.2%,"1,016"
Sex,Female,Diseases & Disorders of the Nervous System,1.9%,"1,507"
Sex,Male,Diseases & Disorders of the Nervous System,2.3%,"1,918"
Sex,Female,Diseases & Disorders of the Respiratory System,1.5%,"1,669"
Sex,Male,Diseases & Disorders of the Respiratory System,1.8%,"2,245"
Sex,Female,"Diseases & Disorders of the Skin, Subcutaneous Tissue & Breast",0.8%,187
Sex,Male,"Diseases & Disorders of the Skin, Subcutaneous Tissue & Breast",0.9%,248
Sex,Female,"Endocrine, Nutritional & Metabolic Diseases & Disorders",0.8%,400
Sex,Male,"Endocrine, Nutritional & Metabolic Diseases & Disorders",0.9%,422
Sex,Female,Factors Influencing Health Status & Other Contacts with Health Services,1.1%,67
Sex,Male,Factors Influencing Health Status & Other Contacts with Health Services,1.1%,64
Sex,Female,"Infectious & Parasitic Diseases, Systemic or Unspecified Sites",2.3%,"2,942"
Sex,Male,"Infectious & Parasitic Diseases, Systemic or Unspecified Sites",2.7%,"3,945"
Sex,Female,"Injuries, Poisonings & Toxic Effects of Drugs",1.5%,262
Sex,Male,"Injuries, Poisonings & Toxic Effects of Drugs",1.5%,303
Sex,Female,Mental Diseases & Disorders,0.7%,39
Sex,Male,Mental Diseases & Disorders,0.7%,38
Sex,Female,Multiple Significant Trauma,4.2%,129
Sex,Male,Multiple Significant Trauma,4.0%,251
Sex,Female,"Myeloproliferative Diseases & Disorders, Poorly Differentiated Neoplasms",2.0%,186
Sex,Male,"Myeloproliferative Diseases & Disorders, Poorly Differentiated Neoplasms",1.8%,230
Sex,Female,Newborns & Other Neonates with Conditions Originating in Perinatal Period,3.8%,24
Sex,Male,Newborns & Other Neonates with Conditions Originating in Perinatal Period,4.5%,33
Sex,Female,Transplants and Tracheostomies (PRE-MDC),13.9%,696
Sex,Male,Transplants and Tracheostomies (PRE-MDC),13.1%,"1,110"
Sex,Female,"Pregnancy, Childbirth & the Puerperium",0.4%,"1,304"
Sex,Male,"Pregnancy, Childbirth & the Puerperium",0.0%,0
Payer,Medi-Cal,Overall,1.2%,"7,530"
Payer,Medicare,Overall,2.0%,"20,385"
Payer,Other Payer,Overall,1.0%,630
Payer,Private Coverage,Overall,1.4%,"8,853"
Payer,Self Pay,Overall,1.2%,311
Payer,Medi-Cal,Alcohol/Drug Use & Alcohol/Drug Induced Organic Mental Disorders,0.5%,82
Payer,Medicare,Alcohol/Drug Use & Alcohol/Drug Induced Organic Mental Disorders,1.1%,51
Payer,Other Payer,Alcohol/Drug Use & Alcohol/Drug Induced Organic Mental Disorders,0.9%,Less than 11
Payer,Private Coverage,Alcohol/Drug Use & Alcohol/Drug Induced Organic Mental Disorders,1.1%,59
Payer,Self Pay,Alcohol/Drug Use & Alcohol/Drug Induced Organic Mental Disorders,0.0%,0
Payer,Medi-Cal,Burns,1.2%,11
Payer,Medicare,Burns,1.6%,Less than 11
Payer,Other Payer,Burns,1.3%,Less than 11
Payer,Private Coverage,Burns,3.8%,12
Payer,Self Pay,Burns,0.0%,0
Payer,Medi-Cal,"Diseases & Disorders of Blood, Blood Forming Organs, Immunologic Disorders",1.4%,98
Payer,Medicare,"Diseases & Disorders of Blood, Blood Forming Organs, Immunologic Disorders",1.3%,164
Payer,Other Payer,"Diseases & Disorders of Blood, Blood Forming Organs, Immunologic Disorders",0.4%,Less than 11
Payer,Private Coverage,"Diseases & Disorders of Blood, Blood Forming Organs, Immunologic Disorders",1.4%,74
Payer,Self Pay,"Diseases & Disorders of Blood, Blood Forming Organs, Immunologic Disorders",1.2%,Less than 11
Payer,Medi-Cal,Diseases & Disorders of the Circulatory System,2.2%,"1,402"
Payer,Medicare,Diseases & Disorders of the Circulatory System,2.9%,"5,759"
Payer,Other Payer,Diseases & Disorders of the Circulatory System,2.0%,143
Payer,Private Coverage,Diseases & Disorders of the Circulatory System,4.2%,"2,087"
Payer,Self Pay,Diseases & Disorders of the Circulatory System,2.4%,77
Payer,Medi-Cal,Diseases & Disorders of the Digestive System,0.8%,409
Payer,Medicare,Diseases & Disorders of the Digestive System,1.1%,"1,106"
Payer,Other Payer,Diseases & Disorders of the Digestive System,0.6%,29
Payer,Private Coverage,Diseases & Disorders of the Digestive System,0.9%,488
Payer,Self Pay,Diseases & Disorders of the Digestive System,0.5%,13
Payer,Medi-Cal,"Diseases & Disorders of the Ear, Nose, Mouth & Throat",0.7%,36
Payer,Medicare,"Diseases & Disorders of the Ear, Nose, Mouth & Throat",0.8%,48
Payer,Other Payer,"Diseases & Disorders of the Ear, Nose, Mouth & Throat",0.8%,Less than 11
Payer,Private Coverage,"Diseases & Disorders of the Ear, Nose, Mouth & Throat",0.8%,31
Payer,Self Pay,"Diseases & Disorders of the Ear, Nose, Mouth & Throat",0.7%,Less than 11
Payer,Medi-Cal,Diseases & Disorders of the Eye,0.8%,Less than 11
Payer,Medicare,Diseases & Disorders of the Eye,1.3%,17
Payer,Other Payer,Diseases & Disorders of the Eye,0.0%,0
Payer,Private Coverage,Diseases & Disorders of the Eye,1.0%,Less than 11
Payer,Self Pay,Diseases & Disorders of the Eye,0.0%,0
Payer,Medi-Cal,Diseases & Disorders of the Female Reproductive System,0.5%,36
Payer,Medicare,Diseases & Disorders of the Female Reproductive System,0.6%,25
Payer,Other Payer,Diseases & Disorders of the Female Reproductive System,0.2%,Less than 11
Payer,Private Coverage,Diseases & Disorders of the Female Reproductive System,0.3%,33
Payer,Self Pay,Diseases & Disorders of the Female Reproductive System,0.4%,Less than 11
Payer,Medi-Cal,Diseases & Disorders of the Hepatobiliary System & Pancreas,1.5%,485
Payer,Medicare,Diseases & Disorders of the Hepatobiliary System & Pancreas,1.7%,556
Payer,Other Payer,Diseases & Disorders of the Hepatobiliary System & Pancreas,1.0%,20
Payer,Private Coverage,Diseases & Disorders of the Hepatobiliary System & Pancreas,1.7%,429
Payer,Self Pay,Diseases & Disorders of the Hepatobiliary System & Pancreas,1.1%,18
Payer,Medi-Cal,Diseases & Disorders of the Kidney & Urinary Tract,0.8%,186
Payer,Medicare,Diseases & Disorders of the Kidney & Urinary Tract,1.1%,786
Payer,Other Payer,Diseases & Disorders of the Kidney & Urinary Tract,0.7%,18
Payer,Private Coverage,Diseases & Disorders of the Kidney & Urinary Tract,1.0%,180
Payer,Self Pay,Diseases & Disorders of the Kidney & Urinary Tract,0.4%,Less than 11
Payer,Medi-Cal,Diseases & Disorders of the Male Reproductive System,1.1%,19
Payer,Medicare,Diseases & Disorders of the Male Reproductive System,0.6%,25
Payer,Other Payer,Diseases & Disorders of the Male Reproductive System,0.5%,Less than 11
Payer,Private Coverage,Diseases & Disorders of the Male Reproductive System,0.3%,Less than 11
Payer,Self Pay,Diseases & Disorders of the Male Reproductive System,0.0%,0
Payer,Medi-Cal,Diseases & Disorders of the Musculoskeletal System & Connective Tissue,1.0%,304
Payer,Medicare,Diseases & Disorders of the Musculoskeletal System & Connective Tissue,1.2%,"1,325"
Payer,Other Payer,Diseases & Disorders of the Musculoskeletal System & Connective Tissue,0.5%,55
Payer,Private Coverage,Diseases & Disorders of the Musculoskeletal System & Connective Tissue,1.1%,445
Payer,Self Pay,Diseases & Disorders of the Musculoskeletal System & Connective Tissue,1.0%,17
Payer,Medi-Cal,Diseases & Disorders of the Nervous System,1.7%,584
Payer,Medicare,Diseases & Disorders of the Nervous System,2.2%,"1,977"
Payer,Other Payer,Diseases & Disorders of the Nervous System,1.4%,64
Payer,Private Coverage,Diseases & Disorders of the Nervous System,2.5%,779
Payer,Self Pay,Diseases & Disorders of the Nervous System,1.1%,21
Payer,Medi-Cal,Diseases & Disorders of the Respiratory System,1.4%,722
Payer,Medicare,Diseases & Disorders of the Respiratory System,1.7%,"2,151"
Payer,Other Payer,Diseases & Disorders of the Respiratory System,1.0%,62
Payer,Private Coverage,Diseases & Disorders of the Respiratory System,1.9%,942
Payer,Self Pay,Diseases & Disorders of the Respiratory System,1.5%,37
Payer,Medi-Cal,"Diseases & Disorders of the Skin, Subcutaneous Tissue & Breast",0.7%,132
Payer,Medicare,"Diseases & Disorders of the Skin, Subcutaneous Tissue & Breast",1.1%,221
Payer,Other Payer,"Diseases & Disorders of the Skin, Subcutaneous Tissue & Breast",0.5%,Less than 11
Payer,Private Coverage,"Diseases & Disorders of the Skin, Subcutaneous Tissue & Breast",0.8%,71
Payer,Self Pay,"Diseases & Disorders of the Skin, Subcutaneous Tissue & Breast",0.4%,Less than 11
Payer,Medi-Cal,"Endocrine, Nutritional & Metabolic Diseases & Disorders",0.6%,190
Payer,Medicare,"Endocrine, Nutritional & Metabolic Diseases & Disorders",1.0%,439
Payer,Other Payer,"Endocrine, Nutritional & Metabolic Diseases & Disorders",0.4%,11
Payer,Private Coverage,"Endocrine, Nutritional & Metabolic Diseases & Disorders",0.8%,176
Payer,Self Pay,"Endocrine, Nutritional & Metabolic Diseases & Disorders",0.5%,Less than 11
Payer,Medi-Cal,Factors Influencing Health Status & Other Contacts with Health Services,1.4%,34
Payer,Medicare,Factors Influencing Health Status & Other Contacts with Health Services,1.2%,67
Payer,Other Payer,Factors Influencing Health Status & Other Contacts with Health Services,0.4%,Less than 11
Payer,Private Coverage,Factors Influencing Health Status & Other Contacts with Health Services,0.8%,23
Payer,Self Pay,Factors Influencing Health Status & Other Contacts with Health Services,2.8%,Less than 11
Payer,Medi-Cal,"Infectious & Parasitic Diseases, Systemic or Unspecified Sites",2.2%,"1,382"
Payer,Medicare,"Infectious & Parasitic Diseases, Systemic or Unspecified Sites",2.6%,"4,049"
Payer,Other Payer,"Infectious & Parasitic Diseases, Systemic or Unspecified Sites",2.2%,109
Payer,Private Coverage,"Infectious & Parasitic Diseases, Systemic or Unspecified Sites",2.6%,"1,298"
Payer,Self Pay,"Infectious & Parasitic Diseases, Systemic or Unspecified Sites",1.7%,49
Payer,Medi-Cal,"Injuries, Poisonings & Toxic Effects of Drugs",1.1%,152
Payer,Medicare,"Injuries, Poisonings & Toxic Effects of Drugs",1.8%,244
Payer,Other Payer,"Injuries, Poisonings & Toxic Effects of Drugs",1.2%,18
Payer,Private Coverage,"Injuries, Poisonings & Toxic Effects of Drugs",1.8%,144
Payer,Self Pay,"Injuries, Poisonings & Toxic Effects of Drugs",0.8%,Less than 11
Payer,Medi-Cal,Mental Diseases & Disorders,1.2%,40
Payer,Medicare,Mental Diseases & Disorders,0.6%,27
Payer,Other Payer,Mental Diseases & Disorders,0.1%,Less than 11
Payer,Private Coverage,Mental Diseases & Disorders,0.4%,Less than 11
Payer,Self Pay,Mental Diseases & Disorders,0.6%,Less than 11
Payer,Medi-Cal,Multiple Significant Trauma,2.4%,88
Payer,Medicare,Multiple Significant Trauma,4.2%,111
Payer,Other Payer,Multiple Significant Trauma,1.4%,Less than 11
Payer,Private Coverage,Multiple Significant Trauma,7.6%,168
Payer,Self Pay,Multiple Significant Trauma,2.0%,Less than 11
Payer,Medi-Cal,"Myeloproliferative Diseases & Disorders, Poorly Differentiated Neoplasms",2.1%,90
Payer,Medicare,"Myeloproliferative Diseases & Disorders, Poorly Differentiated Neoplasms",1.9%,159
Payer,Other Payer,"Myeloproliferative Diseases & Disorders, Poorly Differentiated Neoplasms",0.7%,Less than 11
Payer,Private Coverage,"Myeloproliferative Diseases & Disorders, Poorly Differentiated Neoplasms",2.0%,155
Payer,Self Pay,"Myeloproliferative Diseases & Disorders, Poorly Differentiated Neoplasms",2.2%,Less than 11
Payer,Medi-Cal,Newborns & Other Neonates with Conditions Originating in Perinatal Period,2.3%,Less than 11
Payer,Medicare,Newborns & Other Neonates with Conditions Originating in Perinatal Period,0.0%,0
Payer,Other Payer,Newborns & Other Neonates with Conditions Originating in Perinatal Period,3.1%,Less than 11
Payer,Private Coverage,Newborns & Other Neonates with Conditions Originating in Perinatal Period,5.1%,44
Payer,Self Pay,Newborns & Other Neonates with Conditions Originating in Perinatal Period,3.0%,Less than 11
Payer,Medi-Cal,Transplants and Tracheostomies (PRE-MDC),10.6%,366
Payer,Medicare,Transplants and Tracheostomies (PRE-MDC),16.6%,927
Payer,Other Payer,Transplants and Tracheostomies (PRE-MDC),6.1%,27
Payer,Private Coverage,Transplants and Tracheostomies (PRE-MDC),12.0%,473
Payer,Self Pay,Transplants and Tracheostomies (PRE-MDC),10.9%,13
Payer,Medi-Cal,"Pregnancy, Childbirth & the Puerperium",0.4%,579
Payer,Medicare,"Pregnancy, Childbirth & the Puerperium",0.8%,13
Payer,Other Payer,"Pregnancy, Childbirth & the Puerperium",0.2%,21
Payer,Private Coverage,"Pregnancy, Childbirth & the Puerperium",0.3%,672
Payer,Self Pay,"Pregnancy, Childbirth & the Puerperium",0.7%,19
Age,0 to 18,Overall,0.9%,407
Age,19 to 34,Overall,0.7%,"3,080"
Age,35 to 64,Overall,1.7%,"14,484"
Age,65+,Overall,1.9%,"19,738"
Age,0 to 18,Alcohol/Drug Use & Alcohol/Drug Induced Organic Mental Disorders,0.0%,0
Age,19 to 34,Alcohol/Drug Use & Alcohol/Drug Induced Organic Mental Disorders,0.4%,24
Age,35 to 64,Alcohol/Drug Use & Alcohol/Drug Induced Organic Mental Disorders,0.8%,141
Age,65+,Alcohol/Drug Use & Alcohol/Drug Induced Organic Mental Disorders,1.0%,33
Age,0 to 18,Burns,0.0%,0
Age,19 to 34,Burns,1.2%,Less than 11
Age,35 to 64,Burns,2.0%,20
Age,65+,Burns,2.2%,Less than 11
Age,0 to 18,"Diseases & Disorders of Blood, Blood Forming Organs, Immunologic Disorders",0.5%,Less than 11
Age,19 to 34,"Diseases & Disorders of Blood, Blood Forming Organs, Immunologic Disorders",1.5%,55
Age,35 to 64,"Diseases & Disorders of Blood, Blood Forming Organs, Immunologic Disorders",1.4%,129
Age,65+,"Diseases & Disorders of Blood, Blood Forming Organs, Immunologic Disorders",1.3%,152
Age,0 to 18,Diseases & Disorders of the Circulatory System,1.6%,23
Age,19 to 34,Diseases & Disorders of the Circulatory System,2.4%,177
Age,35 to 64,Diseases & Disorders of the Circulatory System,3.1%,"3,460"
Age,65+,Diseases & Disorders of the Circulatory System,2.9%,"5,808"
Age,0 to 18,Diseases & Disorders of the Digestive System,0.8%,52
Age,19 to 34,Diseases & Disorders of the Digestive System,0.7%,135
Age,35 to 64,Diseases & Disorders of the Digestive System,0.9%,783
Age,65+,Diseases & Disorders of the Digestive System,1.1%,"1,075"
Age,0 to 18,"Diseases & Disorders of the Ear, Nose, Mouth & Throat",0.5%,Less than 11
Age,19 to 34,"Diseases & Disorders of the Ear, Nose, Mouth & Throat",0.3%,Less than 11
Age,35 to 64,"Diseases & Disorders of the Ear, Nose, Mouth & Throat",1.0%,62
Age,65+,"Diseases & Disorders of the Ear, Nose, Mouth & Throat",0.8%,46
Age,0 to 18,Diseases & Disorders of the Eye,0.7%,Less than 11
Age,19 to 34,Diseases & Disorders of the Eye,0.9%,Less than 11
Age,35 to 64,Diseases & Disorders of the Eye,1.1%,16
Age,65+,Diseases & Disorders of the Eye,0.9%,12
Age,0 to 18,Diseases & Disorders of the Female Reproductive System,0.2%,Less than 11
Age,19 to 34,Diseases & Disorders of the Female Reproductive System,0.5%,16
Age,35 to 64,Diseases & Disorders of the Female Reproductive System,0.4%,54
Age,65+,Diseases & Disorders of the Female Reproductive System,0.6%,25
Age,0 to 18,Diseases & Disorders of the Hepatobiliary System & Pancreas,0.8%,Less than 11
Age,19 to 34,Diseases & Disorders of the Hepatobiliary System & Pancreas,1.4%,191
Age,35 to 64,Diseases & Disorders of the Hepatobiliary System & Pancreas,1.7%,798
Age,65+,Diseases & Disorders of the Hepatobiliary System & Pancreas,1.6%,509
Age,0 to 18,Diseases & Disorders of the Kidney & Urinary Tract,0.3%,Less than 11
Age,19 to 34,Diseases & Disorders of the Kidney & Urinary Tract,1.0%,67
Age,35 to 64,Diseases & Disorders of the Kidney & Urinary Tract,1.0%,382
Age,65+,Diseases & Disorders of the Kidney & Urinary Tract,1.1%,719
Age,0 to 18,Diseases & Disorders of the Male Reproductive System,0.0%,0
Age,19 to 34,Diseases & Disorders of the Male Reproductive System,1.5%,Less than 11
Age,35 to 64,Diseases & Disorders of the Male Reproductive System,0.6%,20
Age,65+,Diseases & Disorders of the Male Reproductive System,0.5%,24
Age,0 to 18,Diseases & Disorders of the Musculoskeletal System & Connective Tissue,0.3%,13
Age,19 to 34,Diseases & Disorders of the Musculoskeletal System & Connective Tissue,1.2%,145
Age,35 to 64,Diseases & Disorders of the Musculoskeletal System & Connective Tissue,1.0%,656
Age,65+,Diseases & Disorders of the Musculoskeletal System & Connective Tissue,1.2%,"1,332"
Age,0 to 18,Diseases & Disorders of the Nervous System,1.0%,40
Age,19 to 34,Diseases & Disorders of the Nervous System,1.8%,202
Age,35 to 64,Diseases & Disorders of the Nervous System,2.1%,"1,192"
Age,65+,Diseases & Disorders of the Nervous System,2.2%,"1,991"
Age,0 to 18,Diseases & Disorders of the Respiratory System,0.8%,46
Age,19 to 34,Diseases & Disorders of the Respiratory System,1.4%,193
Age,35 to 64,Diseases & Disorders of the Respiratory System,1.7%,"1,556"
Age,65+,Diseases & Disorders of the Respiratory System,1.7%,"2,119"
Age,0 to 18,"Diseases & Disorders of the Skin, Subcutaneous Tissue & Breast",0.5%,Less than 11
Age,19 to 34,"Diseases & Disorders of the Skin, Subcutaneous Tissue & Breast",0.8%,45
Age,35 to 64,"Diseases & Disorders of the Skin, Subcutaneous Tissue & Breast",0.8%,198
Age,65+,"Diseases & Disorders of the Skin, Subcutaneous Tissue & Breast",1.0%,187
Age,0 to 18,"Endocrine, Nutritional & Metabolic Diseases & Disorders",0.5%,15
Age,19 to 34,"Endocrine, Nutritional & Metabolic Diseases & Disorders",0.5%,66
Age,35 to 64,"Endocrine, Nutritional & Metabolic Diseases & Disorders",0.8%,354
Age,65+,"Endocrine, Nutritional & Metabolic Diseases & Disorders",1.0%,387
Age,0 to 18,Factors Influencing Health Status & Other Contacts with Health Services,0.9%,Less than 11
Age,19 to 34,Factors Influencing Health Status & Other Contacts with Health Services,0.5%,Less than 11
