Category,Subcategory,MDC_DESC,TransferPercent,TransferCount
Age,35 to 64,Factors Influencing Health Status & Other Contacts with Health Services,1.3%,55
Age,65+,Factors Influencing Health Status & Other Contacts with Health Services,1.0%,69
Age,0 to 18,"Infectious & Parasitic Diseases, Systemic or Unspecified Sites",2.2%,46
Age,19 to 34,"Infectious & Parasitic Diseases, Systemic or Unspecified Sites",2.1%,405
Age,35 to 64,"Infectious & Parasitic Diseases, Systemic or Unspecified Sites",2.6%,"2,671"
Age,65+,"Infectious & Parasitic Diseases, Systemic or Unspecified Sites",2.5%,"3,765"
Age,0 to 18,"Injuries, Poisonings & Toxic Effects of Drugs",1.0%,18
Age,19 to 34,"Injuries, Poisonings & Toxic Effects of Drugs",1.2%,85
Age,35 to 64,"Injuries, Poisonings & Toxic Effects of Drugs",1.4%,259
Age,65+,"Injuries, Poisonings & Toxic Effects of Drugs",1.8%,203
Age,0 to 18,Mental Diseases & Disorders,1.0%,Less than 11
Age,19 to 34,Mental Diseases & Disorders,0.6%,14
Age,35 to 64,Mental Diseases & Disorders,0.7%,29
Age,65+,Mental Diseases & Disorders,0.6%,26
Age,0 to 18,Multiple Significant Trauma,2.9%,Less than 11
Age,19 to 34,Multiple Significant Trauma,3.7%,110
Age,35 to 64,Multiple Significant Trauma,4.2%,146
Age,65+,Multiple Significant Trauma,4.4%,115
Age,0 to 18,"Myeloproliferative Diseases & Disorders, Poorly Differentiated Neoplasms",0.5%,11
Age,19 to 34,"Myeloproliferative Diseases & Disorders, Poorly Differentiated Neoplasms",2.2%,47
Age,35 to 64,"Myeloproliferative Diseases & Disorders, Poorly Differentiated Neoplasms",2.1%,184
Age,65+,"Myeloproliferative Diseases & Disorders, Poorly Differentiated Neoplasms",1.9%,174
Age,0 to 18,Newborns & Other Neonates with Conditions Originating in Perinatal Period,4.2%,57
Age,19 to 34,Newborns & Other Neonates with Conditions Originating in Perinatal Period,0.0%,0
Age,35 to 64,Newborns & Other Neonates with Conditions Originating in Perinatal Period,0.0%,0
Age,65+,Newborns & Other Neonates with Conditions Originating in Perinatal Period,0.0%,0
Age,0 to 18,Transplants and Tracheostomies (PRE-MDC),1.4%,Less than 11
Age,19 to 34,Transplants and Tracheostomies (PRE-MDC),9.6%,108
Age,35 to 64,Transplants and Tracheostomies (PRE-MDC),12.4%,848
Age,65+,Transplants and Tracheostomies (PRE-MDC),15.8%,847
Age,0 to 18,"Pregnancy, Childbirth & the Puerperium",0.5%,21
Age,19 to 34,"Pregnancy, Childbirth & the Puerperium",0.4%,940
Age,35 to 64,"Pregnancy, Childbirth & the Puerperium",0.4%,343
Race,Asian/PI,Overall,1.7%,"3,481"
Race,Black,Overall,1.8%,"3,844"
Race,Hispanic,Overall,1.4%,"10,071"
Race,Native American,Overall,1.7%,137
Race,Other/Unknown,Overall,1.7%,"2,603"
Race,White,Overall,1.6%,"17,573"
Race,Asian/PI,Alcohol/Drug Use & Alcohol/Drug Induced Organic Mental Disorders,0.7%,Less than 11
Race,Black,Alcohol/Drug Use & Alcohol/Drug Induced Organic Mental Disorders,0.6%,11
Race,Hispanic,Alcohol/Drug Use & Alcohol/Drug Induced Organic Mental Disorders,0.6%,43
Race,Native American,Alcohol/Drug Use & Alcohol/Drug Induced Organic Mental Disorders,0.7%,Less than 11
Race,Other/Unknown,Alcohol/Drug Use & Alcohol/Drug Induced Organic Mental Disorders,0.6%,Less than 11
Race,White,Alcohol/Drug Use & Alcohol/Drug Induced Organic Mental Disorders,0.8%,129
Race,Asian/PI,Burns,2.2%,Less than 11
Race,Black,Burns,2.7%,Less than 11
Race,Hispanic,Burns,1.0%,Less than 11
Race,Native American,Burns,0.0%,0
Race,Other/Unknown,Burns,2.9%,Less than 11
Race,White,Burns,1.5%,12
Race,Asian/PI,"Diseases & Disorders of Blood, Blood Forming Organs, Immunologic Disorders",1.1%,26
Race,Black,"Diseases & Disorders of Blood, Blood Forming Organs, Immunologic Disorders",1.6%,83
Race,Hispanic,"Diseases & Disorders of Blood, Blood Forming Organs, Immunologic Disorders",1.3%,87
Race,Native American,"Diseases & Disorders of Blood, Blood Forming Organs, Immunologic Disorders",0.0%,0
Race,Other/Unknown,"Diseases & Disorders of Blood, Blood Forming Organs, Immunologic Disorders",1.2%,19
Race,White,"Diseases & Disorders of Blood, Blood Forming Organs, Immunologic Disorders",1.3%,129
Race,Asian/PI,Diseases & Disorders of the Circulatory System,3.7%,"1,037"
Race,Black,Diseases & Disorders of the Circulatory System,2.7%,999
Race,Hispanic,Diseases & Disorders of the Circulatory System,2.9%,"2,187"
Race,Native American,Diseases & Disorders of the Circulatory System,2.0%,21
Race,Other/Unknown,Diseases & Disorders of the Circulatory System,2.5%,539
Race,White,Diseases & Disorders of the Circulatory System,2.9%,"4,685"
Race,Asian/PI,Diseases & Disorders of the Digestive System,1.0%,187
Race,Black,Diseases & Disorders of the Digestive System,1.0%,181
Race,Hispanic,Diseases & Disorders of the Digestive System,0.9%,506
Race,Native American,Diseases & Disorders of the Digestive System,1.1%,Less than 11
Race,Other/Unknown,Diseases & Disorders of the Digestive System,1.0%,126
Race,White,Diseases & Disorders of the Digestive System,1.0%,"1,037"
Race,Asian/PI,"Diseases & Disorders of the Ear, Nose, Mouth & Throat",0.7%,Less than 11
Race,Black,"Diseases & Disorders of the Ear, Nose, Mouth & Throat",0.8%,13
Race,Hispanic,"Diseases & Disorders of the Ear, Nose, Mouth & Throat",0.7%,35
Race,Native American,"Diseases & Disorders of the Ear, Nose, Mouth & Throat",0.0%,0
Race,Other/Unknown,"Diseases & Disorders of the Ear, Nose, Mouth & Throat",0.4%,Less than 11
Race,White,"Diseases & Disorders of the Ear, Nose, Mouth & Throat",0.9%,60
Race,Asian/PI,Diseases & Disorders of the Eye,1.4%,Less than 11
Race,Black,Diseases & Disorders of the Eye,0.8%,Less than 11
Race,Hispanic,Diseases & Disorders of the Eye,0.9%,Less than 11
Race,Native American,Diseases & Disorders of the Eye,0.0%,0
Race,Other/Unknown,Diseases & Disorders of the Eye,0.8%,Less than 11
Race,White,Diseases & Disorders of the Eye,1.1%,14
Race,Asian/PI,Diseases & Disorders of the Female Reproductive System,0.4%,Less than 11
Race,Black,Diseases & Disorders of the Female Reproductive System,0.3%,Less than 11
Race,Hispanic,Diseases & Disorders of the Female Reproductive System,0.4%,31
Race,Native American,Diseases & Disorders of the Female Reproductive System,3.2%,Less than 11
Race,Other/Unknown,Diseases & Disorders of the Female Reproductive System,0.7%,11
Race,White,Diseases & Disorders of the Female Reproductive System,0.5%,34
Race,Asian/PI,Diseases & Disorders of the Hepatobiliary System & Pancreas,1.5%,116
Race,Black,Diseases & Disorders of the Hepatobiliary System & Pancreas,1.7%,108
Race,Hispanic,Diseases & Disorders of the Hepatobiliary System & Pancreas,1.4%,542
Race,Native American,Diseases & Disorders of the Hepatobiliary System & Pancreas,1.7%,Less than 11
Race,Other/Unknown,Diseases & Disorders of the Hepatobiliary System & Pancreas,1.4%,77
Race,White,Diseases & Disorders of the Hepatobiliary System & Pancreas,1.8%,658
Race,Asian/PI,Diseases & Disorders of the Kidney & Urinary Tract,0.9%,85
Race,Black,Diseases & Disorders of the Kidney & Urinary Tract,1.2%,137
Race,Hispanic,Diseases & Disorders of the Kidney & Urinary Tract,1.0%,302
Race,Native American,Diseases & Disorders of the Kidney & Urinary Tract,1.0%,Less than 11
Race,Other/Unknown,Diseases & Disorders of the Kidney & Urinary Tract,1.2%,80
Race,White,Diseases & Disorders of the Kidney & Urinary Tract,1.0%,566
Race,Asian/PI,Diseases & Disorders of the Male Reproductive System,1.1%,Less than 11
Race,Black,Diseases & Disorders of the Male Reproductive System,0.9%,Less than 11
Race,Hispanic,Diseases & Disorders of the Male Reproductive System,0.6%,15
Race,Native American,Diseases & Disorders of the Male Reproductive System,0.0%,0
Race,Other/Unknown,Diseases & Disorders of the Male Reproductive System,0.6%,Less than 11
Race,White,Diseases & Disorders of the Male Reproductive System,0.5%,20
Race,Asian/PI,Diseases & Disorders of the Musculoskeletal System & Connective Tissue,1.1%,132
Race,Black,Diseases & Disorders of the Musculoskeletal System & Connective Tissue,1.2%,162
Race,Hispanic,Diseases & Disorders of the Musculoskeletal System & Connective Tissue,1.1%,433
Race,Native American,Diseases & Disorders of the Musculoskeletal System & Connective Tissue,2.0%,12
Race,Other/Unknown,Diseases & Disorders of the Musculoskeletal System & Connective Tissue,1.2%,135
Race,White,Diseases & Disorders of the Musculoskeletal System & Connective Tissue,1.1%,"1,272"
Race,Asian/PI,Diseases & Disorders of the Nervous System,2.6%,398
Race,Black,Diseases & Disorders of the Nervous System,2.2%,361
Race,Hispanic,Diseases & Disorders of the Nervous System,2.1%,851
Race,Native American,Diseases & Disorders of the Nervous System,1.3%,Less than 11
Race,Other/Unknown,Diseases & Disorders of the Nervous System,2.4%,271
Race,White,Diseases & Disorders of the Nervous System,2.0%,"1,538"
Race,Asian/PI,Diseases & Disorders of the Respiratory System,1.7%,318
Race,Black,Diseases & Disorders of the Respiratory System,1.7%,396
Race,Hispanic,Diseases & Disorders of the Respiratory System,1.7%,"1,139"
Race,Native American,Diseases & Disorders of the Respiratory System,2.4%,20
Race,Other/Unknown,Diseases & Disorders of the Respiratory System,1.6%,244
Race,White,Diseases & Disorders of the Respiratory System,1.6%,"1,797"
Race,Asian/PI,"Diseases & Disorders of the Skin, Subcutaneous Tissue & Breast",0.8%,21
Race,Black,"Diseases & Disorders of the Skin, Subcutaneous Tissue & Breast",0.9%,42
Race,Hispanic,"Diseases & Disorders of the Skin, Subcutaneous Tissue & Breast",0.9%,115
Race,Native American,"Diseases & Disorders of the Skin, Subcutaneous Tissue & Breast",1.2%,Less than 11
Race,Other/Unknown,"Diseases & Disorders of the Skin, Subcutaneous Tissue & Breast",1.0%,31
Race,White,"Diseases & Disorders of the Skin, Subcutaneous Tissue & Breast",0.8%,223
Race,Asian/PI,"Endocrine, Nutritional & Metabolic Diseases & Disorders",0.8%,59
Race,Black,"Endocrine, Nutritional & Metabolic Diseases & Disorders",0.9%,106
Race,Hispanic,"Endocrine, Nutritional & Metabolic Diseases & Disorders",0.8%,266
Race,Native American,"Endocrine, Nutritional & Metabolic Diseases & Disorders",1.4%,Less than 11
Race,Other/Unknown,"Endocrine, Nutritional & Metabolic Diseases & Disorders",1.1%,66
Race,White,"Endocrine, Nutritional & Metabolic Diseases & Disorders",0.8%,320
Race,Asian/PI,Factors Influencing Health Status & Other Contacts with Health Services,1.0%,Less than 11
Race,Black,Factors Influencing Health Status & Other Contacts with Health Services,1.1%,13
Race,Hispanic,Factors Influencing Health Status & Other Contacts with Health Services,1.2%,35
Race,Native American,Factors Influencing Health Status & Other Contacts with Health Services,0.0%,0
Race,Other/Unknown,Factors Influencing Health Status & Other Contacts with Health Services,0.7%,Less than 11
Race,White,Factors Influencing Health Status & Other Contacts with Health Services,1.1%,67
Race,Asian/PI,"Infectious & Parasitic Diseases, Systemic or Unspecified Sites",2.4%,602
Race,Black,"Infectious & Parasitic Diseases, Systemic or Unspecified Sites",2.9%,713
Race,Hispanic,"Infectious & Parasitic Diseases, Systemic or Unspecified Sites",2.3%,"1,811"
Race,Native American,"Infectious & Parasitic Diseases, Systemic or Unspecified Sites",2.7%,29
Race,Other/Unknown,"Infectious & Parasitic Diseases, Systemic or Unspecified Sites",3.0%,534
Race,White,"Infectious & Parasitic Diseases, Systemic or Unspecified Sites",2.5%,"3,198"
Race,Asian/PI,"Injuries, Poisonings & Toxic Effects of Drugs",1.9%,44
Race,Black,"Injuries, Poisonings & Toxic Effects of Drugs",1.4%,62
Race,Hispanic,"Injuries, Poisonings & Toxic Effects of Drugs",1.3%,137
Race,Native American,"Injuries, Poisonings & Toxic Effects of Drugs",0.0%,0
Race,Other/Unknown,"Injuries, Poisonings & Toxic Effects of Drugs",1.7%,46
Race,White,"Injuries, Poisonings & Toxic Effects of Drugs",1.5%,276
Race,Asian/PI,Mental Diseases & Disorders,0.8%,Less than 11
Race,Black,Mental Diseases & Disorders,0.5%,Less than 11
Race,Hispanic,Mental Diseases & Disorders,0.9%,25
Race,Native American,Mental Diseases & Disorders,0.0%,0
Race,Other/Unknown,Mental Diseases & Disorders,1.1%,Less than 11
Race,White,Mental Diseases & Disorders,0.5%,29
Race,Asian/PI,Multiple Significant Trauma,3.9%,21
Race,Black,Multiple Significant Trauma,4.0%,44
Race,Hispanic,Multiple Significant Trauma,3.5%,98
Race,Native American,Multiple Significant Trauma,0.0%,0
Race,Other/Unknown,Multiple Significant Trauma,6.1%,56
Race,White,Multiple Significant Trauma,4.0%,162
Race,Asian/PI,"Myeloproliferative Diseases & Disorders, Poorly Differentiated Neoplasms",1.7%,47
Race,Black,"Myeloproliferative Diseases & Disorders, Poorly Differentiated Neoplasms",1.5%,20
Race,Hispanic,"Myeloproliferative Diseases & Disorders, Poorly Differentiated Neoplasms",2.2%,140
Race,Native American,"Myeloproliferative Diseases & Disorders, Poorly Differentiated Neoplasms",3.6%,Less than 11
Race,Other/Unknown,"Myeloproliferative Diseases & Disorders, Poorly Differentiated Neoplasms",2.2%,30
Race,White,"Myeloproliferative Diseases & Disorders, Poorly Differentiated Neoplasms",1.8%,178
Race,Asian/PI,Newborns & Other Neonates with Conditions Originating in Perinatal Period,4.3%,Less than 11
Race,Black,Newborns & Other Neonates with Conditions Originating in Perinatal Period,5.3%,Less than 11
Race,Hispanic,Newborns & Other Neonates with Conditions Originating in Perinatal Period,3.9%,25
Race,Native American,Newborns & Other Neonates with Conditions Originating in Perinatal Period,0.0%,0
Race,Other/Unknown,Newborns & Other Neonates with Conditions Originating in Perinatal Period,4.9%,Less than 11
Race,White,Newborns & Other Neonates with Conditions Originating in Perinatal Period,3.8%,12
Race,Asian/PI,Transplants and Tracheostomies (PRE-MDC),13.1%,188
Race,Black,Transplants and Tracheostomies (PRE-MDC),13.0%,157
Race,Hispanic,Transplants and Tracheostomies (PRE-MDC),13.3%,591
Race,Native American,Transplants and Tracheostomies (PRE-MDC),20.0%,Less than 11
Race,Other/Unknown,Transplants and Tracheostomies (PRE-MDC),14.6%,170
Race,White,Transplants and Tracheostomies (PRE-MDC),13.3%,692
Race,Asian/PI,"Pregnancy, Childbirth & the Puerperium",0.3%,119
Race,Black,"Pregnancy, Childbirth & the Puerperium",0.7%,163
Race,Hispanic,"Pregnancy, Childbirth & the Puerperium",0.4%,565
Race,Native American,"Pregnancy, Childbirth & the Puerperium",0.6%,Less than 11
Race,Other/Unknown,"Pregnancy, Childbirth & the Puerperium",0.4%,96
Race,White,"Pregnancy, Childbirth & the Puerperium",0.3%,354
Language,English Only,Overall,1.6%,"32,873"
Language,Other/Unknown,Overall,1.6%,"1,564"
Language,Spanish Only,Overall,1.6%,"3,272"
Language,English Only,Alcohol/Drug Use & Alcohol/Drug Induced Organic Mental Disorders,0.7%,191
Language,Other/Unknown,Alcohol/Drug Use & Alcohol/Drug Induced Organic Mental Disorders,0.5%,Less than 11
Language,Spanish Only,Alcohol/Drug Use & Alcohol/Drug Induced Organic Mental Disorders,0.5%,Less than 11
Language,English Only,Burns,1.7%,29
Language,Other/Unknown,Burns,1.4%,Less than 11
Language,Spanish Only,Burns,2.2%,Less than 11
Language,English Only,"Diseases & Disorders of Blood, Blood Forming Organs, Immunologic Disorders",1.3%,295
Language,Other/Unknown,"Diseases & Disorders of Blood, Blood Forming Organs, Immunologic Disorders",0.9%,12
Language,Spanish Only,"Diseases & Disorders of Blood, Blood Forming Organs, Immunologic Disorders",1.6%,37
Language,English Only,Diseases & Disorders of the Circulatory System,3.0%,"8,270"
Language,Other/Unknown,Diseases & Disorders of the Circulatory System,2.3%,380
Language,Spanish Only,Diseases & Disorders of the Circulatory System,2.7%,818
Language,English Only,Diseases & Disorders of the Digestive System,1.0%,"1,783"
Language,Other/Unknown,Diseases & Disorders of the Digestive System,1.1%,99
Language,Spanish Only,Diseases & Disorders of the Digestive System,0.8%,163
Language,English Only,"Diseases & Disorders of the Ear, Nose, Mouth & Throat",0.8%,109
Language,Other/Unknown,"Diseases & Disorders of the Ear, Nose, Mouth & Throat",0.5%,Less than 11
Language,Spanish Only,"Diseases & Disorders of the Ear, Nose, Mouth & Throat",0.7%,Less than 11
Language,English Only,Diseases & Disorders of the Eye,1.0%,27
Language,Other/Unknown,Diseases & Disorders of the Eye,2.1%,Less than 11
Language,Spanish Only,Diseases & Disorders of the Eye,0.8%,Less than 11
Language,English Only,Diseases & Disorders of the Female Reproductive System,0.4%,84
Language,Other/Unknown,Diseases & Disorders of the Female Reproductive System,0.4%,Less than 11
Language,Spanish Only,Diseases & Disorders of the Female Reproductive System,0.4%,Less than 11
Language,English Only,Diseases & Disorders of the Hepatobiliary System & Pancreas,1.7%,"1,314"
Language,Other/Unknown,Diseases & Disorders of the Hepatobiliary System & Pancreas,1.6%,61
Language,Spanish Only,Diseases & Disorders of the Hepatobiliary System & Pancreas,1.1%,133
Language,English Only,Diseases & Disorders of the Kidney & Urinary Tract,1.0%,"1,009"
Language,Other/Unknown,Diseases & Disorders of the Kidney & Urinary Tract,0.8%,49
Language,Spanish Only,Diseases & Disorders of the Kidney & Urinary Tract,1.0%,116
Language,English Only,Diseases & Disorders of the Male Reproductive System,0.6%,40
Language,Other/Unknown,Diseases & Disorders of the Male Reproductive System,1.0%,Less than 11
Language,Spanish Only,Diseases & Disorders of the Male Reproductive System,0.8%,Less than 11
Language,English Only,Diseases & Disorders of the Musculoskeletal System & Connective Tissue,1.1%,"1,954"
Language,Other/Unknown,Diseases & Disorders of the Musculoskeletal System & Connective Tissue,1.1%,75
Language,Spanish Only,Diseases & Disorders of the Musculoskeletal System & Connective Tissue,0.9%,117
Language,English Only,Diseases & Disorders of the Nervous System,2.1%,"2,937"
Language,Other/Unknown,Diseases & Disorders of the Nervous System,2.3%,195
Language,Spanish Only,Diseases & Disorders of the Nervous System,2.0%,293
Language,English Only,Diseases & Disorders of the Respiratory System,1.7%,"3,326"
Language,Other/Unknown,Diseases & Disorders of the Respiratory System,1.5%,172
Language,Spanish Only,Diseases & Disorders of the Respiratory System,1.7%,416
Language,English Only,"Diseases & Disorders of the Skin, Subcutaneous Tissue & Breast",0.9%,395
Language,Other/Unknown,"Diseases & Disorders of the Skin, Subcutaneous Tissue & Breast",0.7%,Less than 11
Language,Spanish Only,"Diseases & Disorders of the Skin, Subcutaneous Tissue & Breast",1.0%,32
Language,English Only,"Endocrine, Nutritional & Metabolic Diseases & Disorders",0.8%,705
Language,Other/Unknown,"Endocrine, Nutritional & Metabolic Diseases & Disorders",0.6%,25
Language,Spanish Only,"Endocrine, Nutritional & Metabolic Diseases & Disorders",0.9%,92
Language,English Only,Factors Influencing Health Status & Other Contacts with Health Services,1.1%,117
Language,Other/Unknown,Factors Influencing Health Status & Other Contacts with Health Services,0.9%,Less than 11
Language,Spanish Only,Factors Influencing Health Status & Other Contacts with Health Services,0.8%,Less than 11
Language,English Only,"Infectious & Parasitic Diseases, Systemic or Unspecified Sites",2.6%,"6,002"
Language,Other/Unknown,"Infectious & Parasitic Diseases, Systemic or Unspecified Sites",2.1%,297
Language,Spanish Only,"Infectious & Parasitic Diseases, Systemic or Unspecified Sites",2.1%,588
Language,English Only,"Injuries, Poisonings & Toxic Effects of Drugs",1.5%,516
Language,Other/Unknown,"Injuries, Poisonings & Toxic Effects of Drugs",1.4%,14
Language,Spanish Only,"Injuries, Poisonings & Toxic Effects of Drugs",1.6%,35
Language,English Only,Mental Diseases & Disorders,0.7%,68
Language,Other/Unknown,Mental Diseases & Disorders,0.8%,Less than 11
Language,Spanish Only,Mental Diseases & Disorders,1.0%,Less than 11
Language,English Only,Multiple Significant Trauma,4.0%,344
Language,Other/Unknown,Multiple Significant Trauma,4.7%,14
Language,Spanish Only,Multiple Significant Trauma,4.3%,23
Language,English Only,"Myeloproliferative Diseases & Disorders, Poorly Differentiated Neoplasms",1.9%,343
Language,Other/Unknown,"Myeloproliferative Diseases & Disorders, Poorly Differentiated Neoplasms",2.0%,24
Language,Spanish Only,"Myeloproliferative Diseases & Disorders, Poorly Differentiated Neoplasms",2.0%,49
Language,English Only,Newborns & Other Neonates with Conditions Originating in Perinatal Period,4.4%,56
Language,Other/Unknown,Newborns & Other Neonates with Conditions Originating in Perinatal Period,0.0%,0
Language,Spanish Only,Newborns & Other Neonates with Conditions Originating in Perinatal Period,1.4%,Less than 11
Language,English Only,Transplants and Tracheostomies (PRE-MDC),13.3%,"1,481"
Language,Other/Unknown,Transplants and Tracheostomies (PRE-MDC),13.0%,93
Language,Spanish Only,Transplants and Tracheostomies (PRE-MDC),13.9%,232
Language,English Only,"Pregnancy, Childbirth & the Puerperium",0.4%,"1,243"
Language,Other/Unknown,"Pregnancy, Childbirth & the Puerperium",0.2%,12
Language,Spanish Only,"Pregnancy, Childbirth & the Puerperium",0.3%,49
